+1131ms boxes=0 windows=View controls panel | MoI
+2196ms boxes=0 windows=View controls panel | MoI
+3229ms boxes=0 windows=View controls panel | MoI
+4270ms boxes=0 windows=View controls panel | MoI
+5321ms boxes=0 windows=View controls panel | MoI
+6357ms boxes=0 windows=View controls panel | MoI
+7400ms boxes=0 windows=View controls panel | MoI
+8434ms boxes=0 windows=View controls panel | MoI
+9490ms boxes=0 windows=View controls panel | MoI
+10526ms boxes=0 windows=View controls panel | MoI
+11570ms boxes=0 windows=View controls panel | MoI
+12616ms boxes=0 windows=View controls panel | MoI
+13649ms boxes=0 windows=View controls panel | MoI
+14693ms boxes=0 windows=View controls panel | MoI
+15736ms boxes=0 windows=View controls panel | MoI
+16788ms boxes=0 windows=View controls panel | MoI
+17831ms boxes=0 windows=View controls panel | MoI
+18871ms boxes=0 windows=View controls panel | MoI
+19924ms boxes=0 windows=View controls panel | MoI
+20969ms boxes=0 windows=View controls panel | MoI
+22006ms boxes=0 windows=View controls panel | MoI
+23041ms boxes=0 windows=View controls panel | MoI
