+1134ms boxes=0 windows=View controls panel | MoI
+2196ms boxes=0 windows=View controls panel | MoI
+3236ms boxes=0 windows=View controls panel | MoI
+4269ms boxes=0 windows=View controls panel | MoI
+5305ms boxes=0 windows=View controls panel | MoI
+6347ms boxes=0 windows=View controls panel | MoI
+7384ms boxes=0 windows=View controls panel | MoI
+8410ms boxes=0 windows=View controls panel | MoI
+9436ms boxes=0 windows=View controls panel | MoI
+10472ms boxes=0 windows=View controls panel | MoI
+11510ms boxes=0 windows=View controls panel | MoI
+12537ms boxes=0 windows=View controls panel | MoI
+13563ms boxes=0 windows=View controls panel | MoI
+14594ms boxes=0 windows=View controls panel | MoI
+15621ms boxes=0 windows=View controls panel | MoI
+16660ms boxes=0 windows=View controls panel | MoI
+17700ms boxes=0 windows=View controls panel | MoI
+18731ms boxes=0 windows=View controls panel | MoI
