+1199ms boxes=0 windows=View controls panel | MoI
+2292ms boxes=0 windows=View controls panel | MoI
+3350ms boxes=0 windows=View controls panel | MoI
+4396ms boxes=0 windows=View controls panel | MoI
+5446ms boxes=0 windows=View controls panel | MoI
+6495ms boxes=0 windows=View controls panel | MoI
+7537ms boxes=0 windows=View controls panel | MoI
+8576ms boxes=0 windows=View controls panel | MoI
+9617ms boxes=0 windows=View controls panel | MoI
+10718ms boxes=0 windows=View controls panel | MoI
+11751ms boxes=0 windows=View controls panel | MoI
+12800ms boxes=0 windows=View controls panel | MoI
+13834ms boxes=0 windows=View controls panel | MoI
+14862ms boxes=0 windows=View controls panel | MoI
+15892ms boxes=0 windows=View controls panel | MoI
+16920ms boxes=0 windows=View controls panel | MoI
+17982ms boxes=0 windows=View controls panel | MoI
+19021ms boxes=0 windows=View controls panel | MoI
+20061ms boxes=0 windows=View controls panel | MoI
+21090ms boxes=0 windows=View controls panel | MoI
+22133ms boxes=0 windows=View controls panel | MoI
+23168ms boxes=0 windows=View controls panel | MoI
